"","Western_Conference","W","L","W/L_percent","GB","PS/G","PA/G","SRS","Year"
"252","Phoenix Suns","48","34",".585","9.0","105.2","102.6","3.02",2014
"253","Sacramento Kings","28","54",".341","29.0","100.5","103.4","-2.08",2014
"254","Los Angeles Lakers","27","55",".329","30.0","103.0","109.2","-5.33",2014
"255","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2014
"256","San Antonio Spurs*","62","20",".756","—","105.4","97.6","8.00",2014
"257","Houston Rockets*","54","28",".659","8.0","107.7","103.1","5.06",2014
"258","Memphis Grizzlies*","50","32",".610","12.0","96.1","94.6","2.18",2014
"259","Dallas Mavericks*","49","33",".598","13.0","104.8","102.4","2.91",2014
"260","New Orleans Pelicans","34","48",".415","28.0","99.7","102.4","-1.98",2014
"261","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2015
"262","Portland Trail Blazers*","51","31",".622","—","102.8","98.6","4.41",2015
"263","Oklahoma City Thunder","45","37",".549","6.0","104.0","101.8","2.47",2015
"264","Utah Jazz","38","44",".463","13.0","95.1","94.9","0.71",2015
"265","Denver Nuggets","30","52",".366","21.0","101.5","105.0","-3.07",2015
"266","Minnesota Timberwolves","16","66",".195","35.0","97.8","106.5","-8.00",2015
"267","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2015
"268","Golden State Warriors*","67","15",".817","—","110.0","99.9","10.01",2015
"269","Los Angeles Clippers*","56","26",".683","11.0","106.7","100.1","6.80",2015
"270","Phoenix Suns","39","43",".476","28.0","102.4","103.3","-0.38",2015
"271","Sacramento Kings","29","53",".354","38.0","101.3","105.0","-3.07",2015
"272","Los Angeles Lakers","21","61",".256","46.0","98.5","105.3","-6.17",2015
"273","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2015
"274","Houston Rockets*","56","26",".683","—","103.9","100.5","3.82",2015
